Neighbourhood Name,Agincourt South-Malvern West,Agincourt North,Milliken,Morningside Heights,Malvern West,Malvern East
  English and French,135,225,110,115,130,140
  Neither English nor French,3260,5270,6090,1340,850,995
Total - Mother tongue for the population in private households - 25% sample data,24170,27540,23985,24940,17320,26095
  Single responses,22310,25760,22655,22805,15795,23785
    Official languages,7660,7195,5340,9975,6905,12990
      English,7525,7075,5320,9885,6805,12750
      French,135,115,20,85,105,235
    Non-official languages,14655,18565,17310,12830,8885,10795
      Indigenous languages,0,0,0,0,0,0
        Algonquian languages,0,0,0,0,0,0
          Blackfoot,0,0,0,0,0,0
          Cree-Innu languages,0,0,0,0,0,0
            Atikamekw,0,0,0,0,0,0
            Cree languages,0,0,0,0,0,0
              Ililimowin (Moose Cree),0,0,0,0,0,0
              Inu Ayimun (Southern East Cree),0,0,0,0,0,0
              Iyiyiw-Ayimiwin (Northern East Cree),0,0,0,0,0,0
              Nehinawewin (Swampy Cree),0,0,0,0,0,0
              Nehiyawewin (Plains Cree),0,0,0,0,0,0
              Nihithawiwin (Woods Cree),0,0,0,0,0,0
"              Cree, n.o.s.",0,0,0,0,0,0
            Innu (Montagnais),0,0,0,0,0,0
            Naskapi,0,0,0,0,0,0
          Eastern Algonquian languages,0,0,0,0,0,0
            Mi'kmaq,0,0,0,0,0,0
            Wolastoqewi (Malecite),0,0,0,0,0,0
          Ojibway-Potawatomi languages,0,0,0,0,0,0
            Anicinabemowin (Algonquin),0,0,0,0,0,0
            Oji-Cree,0,0,0,0,0,0
            Ojibway languages,0,0,0,0,0,0
              Anishinaabemowin (Chippewa),0,0,0,0,0,0
              Daawaamwin (Odawa),0,0,0,0,0,0
              Saulteau (Western Ojibway),0,0,0,0,0,0
"              Ojibway, n.o.s.",0,0,0,0,0,0
"          Algonquian languages, n.i.e.",0,0,0,0,0,0
        Athabaskan languages,0,0,0,0,0,0
          Northern Athabaskan languages,0,0,0,0,0,0
            Dakelh (Carrier),0,0,0,0,0,0
            Dane-zaa (Beaver),0,0,0,0,0,0
"            Dene, n.o.s.",0,0,0,0,0,0
            Gwich'in,0,0,0,0,0,0
            Slavey-Hare languages,0,0,0,0,0,0
              Deh Gah Ghotie Zhatie (South Slavey),0,0,0,0,0,0
              Satuotine Yati (North Slavey),0,0,0,0,0,0
"              Slavey, n.o.s.",0,0,0,0,0,0
            Tahltan languages,0,0,0,0,0,0
              Kaska (Nahani),0,0,0,0,0,0
              Tahltan,0,0,0,0,0,0
            Tlicho (Dogrib),0,0,0,0,0,0
            Tse'khene (Sekani),0,0,0,0,0,0
            Tsilhqot'in (Chilcotin),0,0,0,0,0,0
            Tsuu T'ina (Sarsi),0,0,0,0,0,0
            Tutchone languages,0,0,0,0,0,0
              Northern Tutchone,0,0,0,0,0,0
              Southern Tutchone,0,0,0,0,0,0
"              Tutchone, n.o.s.",0,0,0,0,0,0
            Wetsuwet'en-Babine,0,0,0,0,0,0
          Tlingit,0,0,0,0,0,0
"          Athabaskan languages, n.i.e.",0,0,0,0,0,0
        Haida,0,0,0,0,0,0
        Inuktut (Inuit) languages,0,0,0,0,0,0
          Inuinnaqtun (Inuvialuktun),0,0,0,0,0,0
            Inuinnaqtun,0,0,0,0,0,0
            Inuvialuktun,0,0,0,0,0,0
          Inuktitut,0,0,0,0,0,0
"          Inuktut (Inuit) languages, n.i.e.",0,0,0,0,0,0
        Iroquoian languages,0,0,0,0,0,0
          Cayuga,0,0,0,0,0,0
          Mohawk,0,0,0,0,0,0
          Oneida,0,0,0,0,0,0
"          Iroquoian languages, n.i.e.",0,0,0,0,0,0
        Ktunaxa (Kutenai),0,0,0,0,0,0
        Michif,0,0,0,0,0,0
        Salish languages,0,0,0,0,0,0
          Halkomelem,0,0,0,0,0,0
          Lillooet,0,0,0,0,0,0
          Ntlakapamux (Thompson),0,0,0,0,0,0
          Secwepemctsin (Shuswap),0,0,0,0,0,0
          Squamish,0,0,0,0,0,0
          Straits,0,0,0,0,0,0
          Syilx (Okanagan),0,0,0,0,0,0
"          Salish languages, n.i.e.",0,0,0,0,0,0
        Siouan languages,0,0,0,0,0,0
          Assiniboine,0,0,0,0,0,0
          Dakota,0,0,0,0,0,0
          Stoney,0,0,0,0,0,0
"          Siouan languages, n.i.e.",0,0,0,0,0,0
        Tsimshian languages,0,0,0,0,0,0
          Gitxsan (Gitksan),0,0,0,0,0,0
          Nisga'a,0,0,0,0,0,0
          Tsimshian,0,0,0,0,0,0
        Wakashan languages,0,0,0,0,0,0
          Haisla,0,0,0,0,0,0
          Heiltsuk,0,0,0,0,0,0
          Kwak'wala (Kwakiutl),0,0,0,0,0,0
          Nuu-chah-nulth (Nootka),0,0,0,0,0,0
"          Wakashan languages, n.i.e.",0,0,0,0,0,0
"        Indigenous languages, n.i.e.",0,0,0,0,0,0
"        Indigenous languages, n.o.s.",0,0,0,0,0,0
      Non-Indigenous languages,14655,18565,17310,12830,8885,10795
        Afro-Asiatic languages,245,345,60,255,365,365
          Berber languages,0,0,0,0,0,0
            Kabyle,0,0,0,0,0,0
            Tamazight,0,0,0,0,0,0
"            Berber languages, n.i.e.",0,0,0,0,0,0
          Chadic languages,0,0,0,0,0,0
            Hausa,0,0,0,0,0,0
            Mina,0,0,0,0,0,0
          Coptic,0,0,0,0,0,0
          Cushitic languages,0,35,0,35,20,50
            Bilen,0,0,0,0,0,0
            Oromo,0,0,0,0,0,0
            Somali,0,35,0,25,20,30
"            Cushitic languages, n.i.e.",0,0,0,0,0,0
          Semitic languages,230,285,60,215,345,315
            Amharic,0,0,0,70,75,90
            Arabic,190,270,60,135,240,210
            Aramaic languages,0,0,0,0,0,0
              Assyrian Neo-Aramaic,0,0,0,0,0,0
              Chaldean Neo-Aramaic,0,0,0,0,0,0
"              Aramaic, n.o.s.",0,0,0,0,0,0
            Harari,0,0,0,0,0,0
            Hebrew,0,0,0,0,0,0
            Maltese,0,0,0,0,0,0
            Tigrigna,30,0,0,0,0,20
"            Semitic languages, n.i.e.",0,0,0,0,0,0
        Austro-Asiatic languages,220,155,110,80,110,145
          Khmer (Cambodian),0,0,0,0,0,0
          Vietnamese,220,155,110,75,110,145
"          Austro-Asiatic languages, n.i.e",0,0,0,0,0,0
        Austronesian languages,505,945,840,1295,1325,1925
          Bikol,0,0,0,0,0,35
"          Bisaya, n.o.s.",0,0,0,0,0,15
          Cebuano,15,15,20,0,55,15
          Fijian,0,0,0,0,0,0
          Hiligaynon,0,0,0,15,30,30
          Ilocano,15,40,35,60,190,60
          Indonesian,15,65,15,0,0,20
          Kankanaey,0,0,0,0,0,0
          Kinaray-a,0,0,0,0,0,0
          Malagasy languages,0,0,0,0,0,0
            Merina,0,0,0,0,0,0
"            Malagasy, n.o.s.",0,0,0,0,0,0
          Malay,0,0,0,0,0,0
"          Pampangan (Kapampangan, Pampango)",0,45,0,15,0,20
          Pangasinan,0,0,0,20,0,10
"          Tagalog (Pilipino, Filipino)",450,750,735,1145,1040,1730
          Waray-Waray,0,0,0,0,0,0
"          Austronesian languages, n.i.e.",0,0,0,20,0,0
        Creole languages,10,0,0,35,30,35
          Haitian Creole,0,0,0,0,0,20
          Jamaican English Creole,0,0,0,0,0,0
          Krio,0,0,0,0,0,0
          Morisyen,0,0,0,0,0,0
          Sango,0,0,0,0,0,0
"          Creole, n.o.s.",0,0,0,0,0,0
"          Creole languages, n.i.e.",0,0,0,20,0,0
        Dravidian languages,1305,2235,1220,7010,2185,2810
          Kannada,0,0,0,0,0,20
          Malayalam,150,65,70,135,120,80
          Tamil,1015,2120,1100,6735,2045,2640
          Telugu,130,50,50,135,10,65
          Tulu,0,0,0,0,0,0
"          Dravidian languages, n.i.e.",0,0,0,0,0,0
        Georgian,0,0,0,0,0,0
        Hmong-Mien languages,0,0,0,0,0,0
        Indo-European languages,3355,2110,1125,3270,3745,3660
          Albanian,20,0,0,0,0,0
          Armenian,85,95,40,0,0,0
          Balto-Slavic languages,200,130,50,75,80,180
            Baltic languages,0,0,0,0,0,0
              Latvian,0,0,0,0,0,0
              Lithuanian,0,0,0,0,0,0
            Slavic languages,200,125,45,75,80,175
              Belarusian,0,0,0,0,0,0
              Bulgarian,0,0,0,0,0,0
              Czech,0,0,0,0,0,40
              Macedonian,45,30,30,0,15,0
              Polish,35,20,10,15,30,75
              Russian,60,30,0,0,15,35
              Rusyn,0,0,0,0,0,0
              Serbo-Croatian,15,15,0,40,15,10
                Bosnian,0,0,0,0,0,0
                Croatian,0,15,0,0,0,0
                Serbian,10,0,0,0,0,0
"                Serbo-Croatian, n.i.e.",0,0,0,0,0,0
              Slovak,0,0,0,0,0,0
              Slovene (Slovenian),0,0,0,0,0,0
              Ukrainian,30,20,0,0,0,20
"              Slavic languages, n.i.e.",0,0,0,0,0,0
          Celtic languages,0,0,0,0,0,0
            Irish,0,0,0,0,0,0
            Scottish Gaelic,0,0,0,0,0,0
            Welsh,0,0,0,0,0,0
"            Celtic languages, n.i.e.",0,0,0,0,0,0
          Germanic languages,65,60,20,10,20,40
            Frisian,0,0,0,0,0,0
            High German languages,65,55,15,0,20,35
              German,65,55,15,0,20,35
              Pennsylvania German,0,0,0,0,0,0
              Swiss German,0,0,0,0,0,0
              Yiddish,0,0,0,0,0,0
            Low Saxon-Low Franconian languages,0,10,0,0,0,0
              Afrikaans,0,0,0,0,0,0
              Dutch,0,0,0,0,0,0
"              Low German, n.o.s.",0,0,0,0,0,0
              Low Saxon,0,0,0,0,0,0
              Plautdietsch,0,0,0,0,0,0
              Vlaams (Flemish),0,0,0,0,0,0
            Scandinavian languages,0,0,0,0,0,0
              Danish,0,0,0,0,0,0
              Icelandic,0,0,0,0,0,0
              Norwegian,0,0,0,0,0,0
              Swedish,0,0,0,0,0,0
"            Germanic languages, n.i.e.",0,0,0,0,0,0
          Greek,255,140,100,0,25,15
          Indo-Iranian languages,2015,1385,730,2980,3405,3010
            Indo-Aryan languages,1860,1130,625,2750,3230,2815
              Assamese,0,0,0,0,0,0
              Bengali,280,45,65,260,345,450
              Gujarati,440,250,130,845,935,620
              Hindi,335,255,100,275,115,275
              Kacchi,30,20,0,40,0,20
              Kashmiri,0,0,0,10,0,0
              Konkani,15,10,0,0,0,20
              Marathi,45,0,10,0,15,65
              Nepali,35,0,0,30,30,0
              Oriya languages,0,0,0,0,0,50
                Odia,0,0,0,0,0,25
"                Oriya, n.o.s.",0,0,0,0,0,25
              Punjabi (Panjabi),190,175,170,470,415,455
              Rohingya,0,0,0,0,0,0
              Sindhi,0,0,0,0,0,0
              Sinhala (Sinhalese),40,45,15,125,35,55
              Urdu,440,300,125,670,1325,770
"              Indo-Aryan languages, n.i.e.",0,0,0,0,0,35
            Iranian languages,155,250,105,230,170,190
              Baluchi,0,0,0,0,0,0
              Kurdish,0,0,0,0,0,0
              Parsi,0,0,0,0,0,0
              Pashto,0,100,30,10,75,65
              Persian languages,145,110,75,215,90,125
                Dari,80,100,25,215,50,100
                Iranian Persian,45,10,40,0,45,25
"                Persian (Farsi), n.o.s.",25,0,0,0,0,0
"              Iranian languages, n.i.e.",0,0,0,0,0,0
"            Indo-Iranian languages, n.i.e.",0,0,0,0,0,0
          Italic (Romance) languages,715,295,190,205,215,410
            Catalan,0,0,0,0,0,0
            Italian,300,65,55,20,40,35
            Portuguese,95,35,30,35,20,35
            Romanian,30,10,0,15,40,10
            Spanish,290,180,95,140,115,330
"            Italic (Romance) languages, n.i.e.",0,0,0,0,0,0
"          Indo-European languages, n.i.e.",0,0,0,0,0,0
        Japanese,30,35,15,0,0,10
        Korean,100,40,25,0,0,75
        Mongolian,0,0,0,0,0,0
        Niger-Congo languages,60,20,0,40,165,180
          Akan (Twi),10,0,0,15,50,20
          Bamanankan,0,0,0,0,0,0
          Edo,0,0,0,0,0,10
          Éwé,0,0,0,0,0,0
"          Fulah (Pular, Pulaar, Fulfulde)",0,0,0,0,0,0
          Ga,0,0,0,0,0,0
          Ganda,0,0,0,0,0,15
          Gikuyu,0,0,0,0,0,0
          Igbo,0,0,0,20,0,0
          Kinyarwanda (Rwanda),0,0,0,0,0,0
          Lingala,0,0,0,0,0,25
          Luba-Kasai,0,0,0,0,0,0
          Mòoré,0,0,0,0,0,0
          Mwani,0,0,0,0,0,0
          Ndebele,0,0,0,0,0,0
          Rundi (Kirundi),0,0,0,0,0,0
          Shona,0,0,0,0,0,0
          Soninke,0,0,0,0,0,0
          Sotho-Tswana languages,0,0,0,0,0,0
          Swahili,0,0,0,0,20,0
          Wojenaka,0,0,0,0,0,0
          Wolof,0,0,0,0,0,0
          Yoruba,15,0,0,0,45,25
"          Niger-Congo languages, n.i.e.",20,0,0,0,0,15
        Nilo-Saharan languages,0,0,0,0,0,0
          Dinka,0,0,0,0,0,0
          Nuer,0,0,0,0,0,0
"          Nilo-Saharan languages, n.i.e.",0,0,0,0,0,0
"          African, n.o.s.",0,0,0,0,0,0
        Sign languages,0,0,10,0,0,15
          American Sign Language,0,0,10,0,0,15
          Quebec Sign Language,0,0,0,0,0,0
"          Sign languages, n.i.e.",0,0,0,0,0,0
        Sino-Tibetan languages,8735,12635,13835,775,890,1535
          Chinese languages,8705,12615,13820,775,865,1530
            Hakka,105,265,270,70,15,15
            Mandarin,3830,3990,4990,305,275,550
            Min Dong,0,50,155,0,0,0
"            Min Nan (Chaochow, Teochow, Fukien, Taiwanese)",85,130,180,10,0,20
            Wu (Shanghainese),30,75,50,0,0,0
            Yue (Cantonese),4580,8060,8090,385,560,905
"            Chinese, n.o.s.",80,45,80,0,10,25
"            Chinese languages, n.i.e.",0,0,0,0,0,0
          Tibeto-Burman languages,0,20,0,0,0,0
            Burmese,0,15,0,0,0,0
            Kuki-Chin languages,0,0,0,0,0,0
            Karenic languages,0,0,0,0,0,0
              S'gaw Karen,0,0,0,0,0,0
"              Karenic languages, n.i.e.",0,0,0,0,0,0
            Tibetan,0,0,0,0,0,0
"            Tibeto-Burman languages, n.i.e.",0,0,0,0,0,0
"          Sino-Tibetan languages, n.i.e.",0,0,0,0,0,0
        Tai-Kadai languages,0,0,0,0,0,0
          Lao,0,0,0,0,0,0
          Thai,0,0,0,0,0,0
"          Tai-Kadai languages, n.i.e.",0,0,0,0,0,0
        Turkic languages,25,15,20,30,20,15
          Azerbaijani,0,0,0,0,0,0
          Kazakh,0,0,0,0,0,0
          Turkish,25,0,20,30,0,0
          Uyghur,0,0,0,0,0,0
          Uzbek,0,0,0,0,0,0
"          Turkic languages, n.i.e.",0,0,0,0,0,0
        Uralic languages,60,15,30,0,0,20
          Estonian,0,0,0,0,0,0
          Finnish,10,0,0,0,0,0
          Hungarian,40,15,25,0,0,15
"        Other languages, n.i.e.",0,0,0,0,0,0
  Multiple responses,1855,1780,1325,2135,1525,2310
    English and French,40,45,0,75,45,45
    English and non-official language(s),1665,1555,1220,1885,1295,2050
    French and non-official language(s),20,0,0,30,40,25
"    English, French and non-official language(s)",20,40,15,20,50,50
    Multiple non-official languages,115,130,70,125,95,135
Total - All languages spoken  at home for the population in private households - 25% sample data,24170,27540,23985,24940,17320,26095
  English,8015,7275,5260,9175,6785,12610
  French,25,25,0,45,45,100
  Non-official language,6735,9025,9445,4570,3000,3870
    Indigenous,0,0,0,0,0,0
    Non-Indigenous,6735,9025,9445,4570,3000,3870
  English and French,85,95,85,120,95,190
  English and non-official language(s),8370,9805,8065,10610,6865,8700
  French and non-official language(s),0,20,0,10,15,55
"  English, French and non-official language(s)",165,220,145,180,245,235
  Multiple non-official languages,770,1085,970,230,265,345
Total - Language spoken most often at home for the population in private households - 25% sample data,24170,27540,23985,24940,17320,26095
  Single responses,22040,24995,21700,21770,15205,23205
    Official languages,10955,10270,7675,12925,9160,15440
      English,10900,10210,7670,12860,9055,15285
      French,60,65,0,60,110,155
    Non-official languages,11080,14725,14020,8850,6045,7765
      Indigenous languages,0,0,0,0,0,0
        Algonquian languages,0,0,0,0,0,0
          Blackfoot,0,0,0,0,0,0
          Cree-Innu languages,0,0,0,0,0,0
            Atikamekw,0,0,0,0,0,0
            Cree languages,0,0,0,0,0,0
              Ililimowin (Moose Cree),0,0,0,0,0,0
              Inu Ayimun (Southern East Cree),0,0,0,0,0,0
              Iyiyiw-Ayimiwin (Northern East Cree),0,0,0,0,0,0
              Nehinawewin (Swampy Cree),0,0,0,0,0,0
              Nehiyawewin (Plains Cree),0,0,0,0,0,0
              Nihithawiwin (Woods Cree),0,0,0,0,0,0
"              Cree, n.o.s.",0,0,0,0,0,0
            Innu (Montagnais),0,0,0,0,0,0
            Naskapi,0,0,0,0,0,0
          Eastern Algonquian languages,0,0,0,0,0,0
            Mi'kmaq,0,0,0,0,0,0
            Wolastoqewi (Malecite),0,0,0,0,0,0
          Ojibway-Potawatomi languages,0,0,0,0,0,0
            Anicinabemowin (Algonquin),0,0,0,0,0,0
            Oji-Cree,0,0,0,0,0,0
            Ojibway languages,0,0,0,0,0,0
              Anishinaabemowin (Chippewa),0,0,0,0,0,0
              Daawaamwin (Odawa),0,0,0,0,0,0
              Saulteau (Western Ojibway),0,0,0,0,0,0
"              Ojibway, n.o.s.",0,0,0,0,0,0
"          Algonquian languages, n.i.e.",0,0,0,0,0,0
        Athabaskan languages,0,0,0,0,0,0
          Northern Athabaskan languages,0,0,0,0,0,0
            Dakelh (Carrier),0,0,0,0,0,0
            Dane-zaa (Beaver),0,0,0,0,0,0
"            Dene, n.o.s.",0,0,0,0,0,0
            Gwich'in,0,0,0,0,0,0
            Slavey-Hare languages,0,0,0,0,0,0
              Deh Gah Ghotie Zhatie (South Slavey),0,0,0,0,0,0
              Satuotine Yati (North Slavey),0,0,0,0,0,0
"              Slavey, n.o.s.",0,0,0,0,0,0
            Tahltan languages,0,0,0,0,0,0
              Kaska (Nahani),0,0,0,0,0,0
              Tahltan,0,0,0,0,0,0
            Tlicho (Dogrib),0,0,0,0,0,0
            Tse'khene (Sekani),0,0,0,0,0,0
            Tsilhqot'in (Chilcotin),0,0,0,0,0,0
            Tsuu T'ina (Sarsi),0,0,0,0,0,0
            Tutchone languages,0,0,0,0,0,0
              Northern Tutchone,0,0,0,0,0,0
              Southern Tutchone,0,0,0,0,0,0
"              Tutchone, n.o.s.",0,0,0,0,0,0
            Wetsuwet'en-Babine,0,0,0,0,0,0
          Tlingit,0,0,0,0,0,0
"          Athabaskan languages, n.i.e.",0,0,0,0,0,0
        Haida,0,0,0,0,0,0
        Inuktut (Inuit) languages,0,0,0,0,0,0
          Inuinnaqtun (Inuvialuktun),0,0,0,0,0,0
            Inuinnaqtun,0,0,0,0,0,0
            Inuvialuktun,0,0,0,0,0,0
          Inuktitut,0,0,0,0,0,0
"          Inuktut (Inuit) languages, n.i.e.",0,0,0,0,0,0
        Iroquoian languages,0,0,0,0,0,0
          Cayuga,0,0,0,0,0,0
          Mohawk,0,0,0,0,0,0
          Oneida,0,0,0,0,0,0
"          Iroquoian languages, n.i.e.",0,0,0,0,0,0
        Ktunaxa (Kutenai),0,0,0,0,0,0
        Michif,0,0,0,0,0,0
        Salish languages,0,0,0,0,0,0
          Halkomelem,0,0,0,0,0,0
          Lillooet,0,0,0,0,0,0
          Ntlakapamux (Thompson),0,0,0,0,0,0
          Secwepemctsin (Shuswap),0,0,0,0,0,0
          Squamish,0,0,0,0,0,0
          Straits,0,0,0,0,0,0
          Syilx (Okanagan),0,0,0,0,0,0
"          Salish languages, n.i.e.",0,0,0,0,0,0
        Siouan languages,0,0,0,0,0,0
          Assiniboine,0,0,0,0,0,0
          Dakota,0,0,0,0,0,0
          Stoney,0,0,0,0,0,0
"          Siouan languages, n.i.e.",0,0,0,0,0,0
        Tsimshian languages,0,0,0,0,0,0
          Gitxsan (Gitksan),0,0,0,0,0,0
          Nisga'a,0,0,0,0,0,0
          Tsimshian,0,0,0,0,0,0
        Wakashan languages,0,0,0,0,0,0
          Haisla,0,0,0,0,0,0
          Heiltsuk,0,0,0,0,0,0
          Kwak'wala (Kwakiutl),0,0,0,0,0,0
          Nuu-chah-nulth (Nootka),0,0,0,0,0,0
"          Wakashan languages, n.i.e.",0,0,0,0,0,0
"        Indigenous languages, n.i.e.",0,0,0,0,0,0
"        Indigenous languages, n.o.s.",0,0,0,0,0,0
      Non-Indigenous languages,11080,14725,14020,8850,6045,7765
        Afro-Asiatic languages,145,195,20,150,170,220
          Berber languages,0,0,0,0,0,0
            Kabyle,0,0,0,0,0,0
            Tamazight,0,0,0,0,0,0
"            Berber languages, n.i.e.",0,0,0,0,0,0
          Chadic languages,0,0,0,0,0,0
            Hausa,0,0,0,0,0,0
            Mina,0,0,0,0,0,0
          Coptic,0,0,0,0,0,0
          Cushitic languages,0,0,0,30,0,0
            Bilen,0,0,0,0,0,0
            Oromo,0,0,0,0,0,0
            Somali,0,0,0,20,0,0
"            Cushitic languages, n.i.e.",0,0,0,0,0,0
          Semitic languages,145,195,20,125,170,200
            Amharic,0,0,0,35,45,35
            Arabic,110,195,20,85,95,150
            Aramaic languages,0,0,0,0,0,0
              Assyrian Neo-Aramaic,0,0,0,0,0,0
              Chaldean Neo-Aramaic,0,0,0,0,0,0
"              Aramaic, n.o.s.",0,0,0,0,0,0
            Harari,0,0,0,0,30,0
            Hebrew,0,0,0,0,0,0
            Maltese,0,0,0,0,0,0
            Tigrigna,25,0,0,0,0,20
"            Semitic languages, n.i.e.",0,0,0,0,0,0
        Austro-Asiatic languages,125,60,50,60,90,85
          Khmer (Cambodian),0,0,0,0,0,0
          Vietnamese,125,60,50,55,90,85
"          Austro-Asiatic languages, n.i.e",0,0,0,0,0,0
        Austronesian languages,310,500,435,735,805,1115
          Bikol,0,0,0,0,0,10
"          Bisaya, n.o.s.",0,0,0,0,0,0
          Cebuano,0,20,20,0,55,0
          Fijian,0,0,0,0,0,0
          Hiligaynon,0,0,0,0,0,0
          Ilocano,30,20,10,40,60,50
          Indonesian,0,0,0,0,0,0
          Kankanaey,0,0,0,0,0,0
          Kinaray-a,0,0,0,0,0,0
          Malagasy languages,0,0,0,0,0,0
            Merina,0,0,0,0,0,0
"            Malagasy, n.o.s.",0,0,0,0,0,0
          Malay,0,0,0,0,0,0
"          Pampangan (Kapampangan, Pampango)",0,0,0,0,0,0
          Pangasinan,0,0,0,0,0,0
"          Tagalog (Pilipino, Filipino)",245,425,355,685,665,1030
          Waray-Waray,0,0,0,0,0,0
"          Austronesian languages, n.i.e.",0,0,0,0,0,0
        Creole languages,0,10,0,15,30,10
          Haitian Creole,0,0,0,0,0,0
          Jamaican English Creole,0,0,0,0,0,0
          Krio,0,0,0,0,0,0
          Morisyen,0,0,0,0,0,0
          Sango,0,0,0,0,0,0
"          Creole, n.o.s.",0,0,0,0,0,0
"          Creole languages, n.i.e.",0,0,0,0,0,0
        Dravidian languages,1000,1720,895,5215,1580,2380
          Kannada,0,0,0,0,0,25
          Malayalam,95,45,40,100,35,70
          Tamil,810,1650,830,5045,1550,2225
          Telugu,95,20,30,75,0,50
          Tulu,0,0,0,0,0,0
"          Dravidian languages, n.i.e.",0,0,0,0,0,0
        Georgian,0,0,0,0,0,0
        Hmong-Mien languages,0,0,0,0,0,0
        Indo-European languages,2055,1100,665,1980,2530,2545
          Albanian,0,0,0,0,0,0
          Armenian,70,95,40,0,0,0
          Balto-Slavic languages,100,60,0,0,35,90
            Baltic languages,0,0,0,0,0,0
              Latvian,0,0,0,0,0,0
              Lithuanian,0,0,0,0,0,0
            Slavic languages,100,50,0,0,35,90
              Belarusian,0,0,0,0,0,0
              Bulgarian,0,0,0,0,0,0
              Czech,0,0,0,0,0,30
              Macedonian,20,15,0,0,0,0
              Polish,0,0,0,0,0,35
              Russian,35,0,0,0,0,15
              Rusyn,0,0,0,0,0,0
              Serbo-Croatian,0,0,0,0,15,0
                Bosnian,0,0,0,0,0,0
                Croatian,0,0,0,0,0,0
                Serbian,0,0,0,0,0,0
"                Serbo-Croatian, n.i.e.",0,0,0,0,0,0
              Slovak,0,0,0,0,0,0
              Slovene (Slovenian),0,0,0,0,0,0
              Ukrainian,30,0,0,0,0,0
"              Slavic languages, n.i.e.",0,0,0,0,0,0
          Celtic languages,0,0,0,0,0,0
            Irish,0,0,0,0,0,0
            Scottish Gaelic,0,0,0,0,0,0
            Welsh,0,0,0,0,0,0
"            Celtic languages, n.i.e.",0,0,0,0,0,0
          Germanic languages,0,0,0,0,0,0
            Frisian,0,0,0,0,0,0
            High German languages,0,0,0,0,0,0
              German,0,0,0,0,0,0
              Pennsylvania German,0,0,0,0,0,0
              Swiss German,0,0,0,0,0,0
              Yiddish,0,0,0,0,0,0
            Low Saxon-Low Franconian languages,0,0,0,0,0,0
              Afrikaans,0,0,0,0,0,0
              Dutch,0,0,0,0,0,0
"              Low German, n.o.s.",0,0,0,0,0,0
              Low Saxon,0,0,0,0,0,0
              Plautdietsch,0,0,0,0,0,0
              Vlaams (Flemish),0,0,0,0,0,0
            Scandinavian languages,0,0,0,0,0,0
              Danish,0,0,0,0,0,0
              Icelandic,0,0,0,0,0,0
              Norwegian,0,0,0,0,0,0
              Swedish,0,0,0,0,0,0
"            Germanic languages, n.i.e.",0,0,0,0,0,0
          Greek,135,55,75,0,15,0
          Indo-Iranian languages,1375,740,450,1820,2370,2145
            Indo-Aryan languages,1275,550,380,1700,2275,2055
              Assamese,0,0,0,0,0,0
              Bengali,190,25,25,185,250,320
              Gujarati,340,145,70,570,625,510
              Hindi,265,50,55,135,120,140
              Kacchi,0,15,0,10,0,15
              Kashmiri,0,0,0,0,0,0
              Konkani,0,0,0,0,0,0
              Marathi,0,0,10,0,0,15
              Nepali,25,0,0,25,0,15
              Oriya languages,0,0,0,0,0,45
                Odia,0,0,0,0,0,25
"                Oriya, n.o.s.",0,0,0,0,0,0
              Punjabi (Panjabi),125,105,140,280,295,400
              Rohingya,0,0,0,0,0,0
              Sindhi,0,0,0,0,0,0
              Sinhala (Sinhalese),30,25,0,95,20,40
              Urdu,255,170,75,375,940,535
"              Indo-Aryan languages, n.i.e.",0,0,0,0,0,0
            Iranian languages,105,190,75,125,100,90
              Baluchi,0,0,0,0,0,0
              Kurdish,0,0,0,0,0,0
              Parsi,0,0,0,0,0,0
              Pashto,0,90,25,0,50,20
              Persian languages,105,70,50,125,45,75
                Dari,50,65,10,125,20,65
                Iranian Persian,35,0,30,0,25,15
"                Persian (Farsi), n.o.s.",25,0,0,0,0,0
"              Iranian languages, n.i.e.",0,0,0,0,0,0
"            Indo-Iranian languages, n.i.e.",0,0,0,0,0,0
          Italic (Romance) languages,360,145,95,125,105,300
            Catalan,0,0,0,0,0,0
            Italian,110,10,15,0,0,0
            Portuguese,65,0,0,0,0,10
            Romanian,20,0,0,0,25,10
            Spanish,165,125,60,95,65,280
"            Italic (Romance) languages, n.i.e.",0,0,0,0,0,0
"          Indo-European languages, n.i.e.",0,0,0,0,0,0
        Japanese,15,0,10,0,0,10
        Korean,60,10,10,0,0,50
        Mongolian,0,0,0,0,0,0
        Niger-Congo languages,10,0,0,10,65,65
          Akan (Twi),0,0,0,0,10,0
          Bamanankan,0,0,0,0,0,0
          Edo,0,0,0,0,0,0
          Éwé,0,0,0,0,0,0
"          Fulah (Pular, Pulaar, Fulfulde)",0,0,0,0,0,0
          Ga,0,0,0,0,0,0
          Ganda,0,0,0,0,0,0
          Gikuyu,0,0,0,0,0,0
          Igbo,0,0,0,0,0,0
          Kinyarwanda (Rwanda),0,0,0,0,0,0
          Lingala,0,0,0,0,0,0
          Luba-Kasai,0,0,0,0,0,0
          Mòoré,0,0,0,0,0,0
          Mwani,0,0,0,0,0,0
          Ndebele,0,0,0,0,0,0
          Rundi (Kirundi),0,0,0,0,0,0
          Shona,0,0,0,0,0,0
          Soninke,0,0,0,0,0,0
          Sotho-Tswana languages,0,0,0,0,0,0
          Swahili,0,0,0,0,0,0
          Wojenaka,0,0,0,0,0,0
